sample_id,patient_id,label,split,gabor_f010_o000_real_mean,gabor_f010_o000_real_std,gabor_f010_o000_magnitude_mean,gabor_f010_o000_magnitude_std,gabor_f010_o000_magnitude_energy,gabor_f010_o045_real_mean,gabor_f010_o045_real_std,gabor_f010_o045_magnitude_mean,gabor_f010_o045_magnitude_std,gabor_f010_o045_magnitude_energy,gabor_f010_o090_real_mean,gabor_f010_o090_real_std,gabor_f010_o090_magnitude_mean,gabor_f010_o090_magnitude_std,gabor_f010_o090_magnitude_energy,gabor_f010_o135_real_mean,gabor_f010_o135_real_std,gabor_f010_o135_magnitude_mean,gabor_f010_o135_magnitude_std,gabor_f010_o135_magnitude_energy,gabor_f020_o000_real_mean,gabor_f020_o000_real_std,gabor_f020_o000_magnitude_mean,gabor_f020_o000_magnitude_std,gabor_f020_o000_magnitude_energy,gabor_f020_o045_real_mean,gabor_f020_o045_real_std,gabor_f020_o045_magnitude_mean,gabor_f020_o045_magnitude_std,gabor_f020_o045_magnitude_energy,gabor_f020_o090_real_mean,gabor_f020_o090_real_std,gabor_f020_o090_magnitude_mean,gabor_f020_o090_magnitude_std,gabor_f020_o090_magnitude_energy,gabor_f020_o135_real_mean,gabor_f020_o135_real_std,gabor_f020_o135_magnitude_mean,gabor_f020_o135_magnitude_std,gabor_f020_o135_magnitude_energy,gabor_f030_o000_real_mean,gabor_f030_o000_real_std,gabor_f030_o000_magnitude_mean,gabor_f030_o000_magnitude_std,gabor_f030_o000_magnitude_energy,gabor_f030_o045_real_mean,gabor_f030_o045_real_std,gabor_f030_o045_magnitude_mean,gabor_f030_o045_magnitude_std,gabor_f030_o045_magnitude_energy,gabor_f030_o090_real_mean,gabor_f030_o090_real_std,gabor_f030_o090_magnitude_mean,gabor_f030_o090_magnitude_std,gabor_f030_o090_magnitude_energy,gabor_f030_o135_real_mean,gabor_f030_o135_real_std,gabor_f030_o135_magnitude_mean,gabor_f030_o135_magnitude_std,gabor_f030_o135_magnitude_energy
1,100360,1,train,0.00014525018614738885,0.007724909052466531,0.005183649863476187,0.009615876991612881,0.00011933531622494668,8.852016749283162e-05,0.010760326047929548,0.007404473909776692,0.013291126567642735,0.00023148027931766232,0.00014525018614738893,0.012602279885096051,0.008451047896948907,0.015693360504879808,0.00031770177449264605,8.852016749283148e-05,0.009239584303295934,0.005696755902817889,0.01175575834990218,0.00017065088219758528,0.00021643836411849849,0.004548139036929283,0.002484417313811766,0.005924127705974122,4.126761846585789e-05,0.0001260345859958027,0.006363560593392955,0.003490836672183038,0.008290616941869134,8.092026994866548e-05,0.0002164383641184998,0.008789386001807762,0.0044384180889452535,0.011605752354334661,0.00015439304284242097,0.00012603458599580266,0.0059148630029126,0.003041125388027376,0.007788018243291545,6.990167178354658e-05,0.00025205183849908515,0.0036641914043783696,0.0016680831015864182,0.004888145645142087,2.6676469081919724e-05,0.00017160772834014348,0.005273178297040521,0.0024507268943006616,0.0070369995530112465,5.5525425019529046e-05,0.0002520518384990814,0.0073515108085666775,0.003126815059884219,0.009898708480747998,0.00010776140200555111,0.00017160772834014346,0.004944542433417105,0.0021934477218212185,0.0066331284593419935,4.8809606066495384e-05
2,100360,1,train,0.00024852170026402816,0.008837020847785268,0.007177266816958663,0.010235573041222324,0.00015628011444401315,0.00015145717273402969,0.01094189251476268,0.009153117703272665,0.012474139676181361,0.00023938372435084552,0.00024852170026402843,0.010530409445322651,0.008777830438370576,0.012031807362947887,0.000221814695623872,0.0001514571727340297,0.00818453580563353,0.006726546754015217,0.009415971655386837,0.000133906953449001,0.00037032400219103647,0.005036720427770751,0.003459109160719122,0.006222541241532493,5.068545568834368e-05,0.00021564398941262798,0.006997799473943644,0.004702108648868787,0.008705340623446535,9.789278111599515e-05,0.0003703240021910389,0.007302368617684883,0.005198049782968131,0.008920491102711443,0.00010659488305976903,0.000215643989412628,0.005195828674335962,0.0037177426904967652,0.0063345123470007324,5.394765738704685e-05,0.00043125832138283285,0.00407789329934909,0.0023008266785575237,0.0052781535592760515,3.315270840006049e-05,0.00029361920667188496,0.005289531170633437,0.00305019989301489,0.006827094283253574,5.591293573978168e-05,0.0004312583213828263,0.005894660627845533,0.0036841532024378693,0.007467404575553776,6.933511591403466e-05,0.00029361920667188496,0.004195420376916386,0.0025830556799754816,0.005337188713340858,3.515776000766665e-05
3,100360,1,train,0.00024085259067286205,0.008135399870348769,0.007112275169082505,0.00904762730962664,0.00013244401801464938,0.0001467833689783359,0.009221646637680185,0.007473429792414306,0.010685704671396883,0.0001700364371864589,0.0002408525906728628,0.008975414072726376,0.007914196871937831,0.009927931638325192,0.00016119833874304887,0.00014678336897833583,0.008522303882058298,0.0070890388275848155,0.009744935052798923,0.00014521823068227424,0.0003588962059300862,0.005547463135439336,0.004101178854040177,0.00668473323509651,6.150532641723015e-05,0.00020898945024874527,0.006634968902308114,0.00466263582945593,0.008140931863921376,8.801494449113656e-05,0.00035889620593008813,0.00678314795479361,0.004957871266236992,0.00821000684716544,9.198469992308179e-05,0.00020898945024874532,0.005968790757316925,0.004200761972853295,0.007319552232113565,7.122224603120899e-05,0.0004179501582515106,0.004499967509792183,0.0027452110520581065,0.0057322089055732075,4.0394402657474766e-05,0.00028455843704232894,0.004718200555326969,0.0030644025082800464,0.005924312978943713,4.4488047005233966e-05,0.0004179501582515043,0.005781792792963477,0.003888596037232647,0.007185430807394198,6.675159502863109e-05,0.00028455843704232894,0.004734812128323025,0.002933533792614718,0.006016351495156817,4.480210582568816e-05
4,100360,1,train,0.0002399750122099451,0.00899375442491158,0.00796613610152866,0.009921213831855938,0.0001618898082854878,0.00014624854424188645,0.009937423562852548,0.0080259180900435,0.01153411040169937,0.00019745106394667707,0.0002399750122099459,0.01042393072568438,0.008406422990910732,0.012116584649930285,0.00021747957108103868,0.0001462485442418864,0.008873399314446157,0.007765631537995588,0.009854729190338942,0.0001574207205988301,0.0003575885198476282,0.006515088827795162,0.004625609682915359,0.007965240875069064,8.48413271365513e-05,0.0002082279693777994,0.006647920248114767,0.004735125251759243,0.00811917323279873,8.834238513404342e-05,0.00035758851984763016,0.007704479098845219,0.005419062699347043,0.009450172159636751,0.000118671994386228,0.00020822796937779937,0.005430486135972606,0.004115764053336895,0.006480242548446473,5.8933057229436176e-05,0.0004164273012358165,0.005191985003118633,0.0028754440982681284,0.006745338970105096,5.37677765838835e-05,0.0002835216105124917,0.005132260206552198,0.003180351219583967,0.006520733321970626,5.26345969361673e-05,0.00041642730123581025,0.006581142398386424,0.0041485959294026665,0.008319152619850828,8.641914849782728e-05,0.0002835216105124917,0.004151346683568347,0.0027924272081772117,0.005159856213309471,3.442176585499673e-05
5,100360,1,train,0.00016501677574878474,0.008694088218744074,0.007412327889199001,0.009814782612865733,0.0001512725624748088,0.00010056656735425495,0.006833217681669547,0.005892347382691907,0.007657566977000118,9.33580896855589e-05,0.00016501677574878474,0.007808953967744506,0.006532509197436454,0.008909016927460994,0.0001220442590283784,0.00010056656735425484,0.0069109428051253785,0.0057010960214132714,0.007936757964146975,9.549462282682466e-05,0.00024589270377205745,0.006097785567573132,0.0041731358490924506,0.007541394584510384,7.428769509426312e-05,0.0001431861918080866,0.0048612599859285495,0.0036761912825093376,0.0058063977556601105,4.722863724253241e-05,0.00024589270377205886,0.006468420558251066,0.004674580990391067,0.007859349594002656,8.362108347647523e-05,0.00014318619180808662,0.005460681614460786,0.0037842813265080337,0.0067292081385416395,5.960302732997245e-05,0.000286352691269306,0.005047131618083092,0.002988610510467911,0.00646948655000492,5.078604900397382e-05,0.00019496122363332963,0.0038296810892338305,0.0026590682240745745,0.004712875005547985,2.928183463820203e-05,0.0002863526912693016,0.005247067662108034,0.003650337976717136,0.006449526143215362,5.492135481628178e-05,0.00019496122363332963,0.004300988190042795,0.002713710549718425,0.00543890559045234,3.6945918969506794e-05
6,100572,1,train,0.0002408878556528802,0.008475521468951813,0.006713255238685977,0.009936042342576988,0.00014379273333322754,0.00014680486059924622,0.010339009939175426,0.007181662280750778,0.012730765964855865,0.00021364867516669099,0.00024088785565288114,0.01000286857265111,0.007364911106563572,0.012083466013705888,0.00020025206651196875,0.00014680486059924622,0.013463036594949152,0.010232463253906119,0.016051848074078435,0.0003623651308358345,0.0003589487545345888,0.005783606607742453,0.00308336872778105,0.007566959213740169,6.676603445386537e-05,0.00020902004991456762,0.007108132078046252,0.0037065440230745527,0.00933934978555121,0.00010096192301186513,0.0003589487545345911,0.007203825638237014,0.004134150964993812,0.009303874166701162,0.00010365327871116849,0.00020902004991456762,0.008296199358989804,0.004681439548604699,0.010754013720231638,0.00013756468734217052,0.0004180113533747939,0.00621026492313078,0.0027297127255239955,0.008320463991811087,7.668145260291253e-05,0.00028460010131327687,0.0061719612526479825,0.0027495179802522114,0.00827792137154948,7.608383135728581e-05,0.00041801135337478753,0.006844292709857966,0.003060138815341555,0.00915874315368464,9.324702572432525e-05,0.00028460010131327687,0.0065921843364044625,0.0030107011601078304,0.008817430868666208,8.681140859918235e-05
7,100572,1,train,0.0002615885023621599,0.00883735942873172,0.006636359889843989,0.01059217278153402,0.00015623539682140027,0.0001594205051124722,0.008130135521238698,0.006355204497376265,0.009575380967280564,0.00013207654487203038,0.00026158850236216043,0.008718744232924297,0.006489502842854218,0.010486263853607986,0.0001520753767548984,0.00015942050511247205,0.01145411598460724,0.008769750314375841,0.013614821448913348,0.00026227188366228604,0.00038979493951231447,0.0062178212538258615,0.0033048994357533935,0.008142561942601106,7.7223675269539e-05,0.00022698214350666814,0.005319223506097996,0.0030788452687593934,0.006859042753765109,5.6525755686939746e-05,0.00038979493951231685,0.005975820207601892,0.0034854883454942167,0.007692395746757555,7.132158133130974e-05,0.0002269821435066681,0.007097387464080501,0.004015925759952018,0.00919541386738067,0.00010068329590186292,0.00045393307023854697,0.006146194795816874,0.002821137802917191,0.00819840061827292,7.517259120074624e-05,0.00030905715056859856,0.005025628228576101,0.0023672890857549724,0.006695962597032251,5.0439972716389494e-05,0.00045393307023854003,0.0060297731729201595,0.0027844471383011654,0.008038837966202332,7.23760617128496e-05,0.00030905715056859856,0.005563448861623431,0.0026087843374473798,0.007417834271885221,6.183002100446569e-05
8,100572,1,train,0.0002203639586945024,0.010676834188034093,0.007730398294944941,0.012968922413349472,0.00022795200636196596,0.0001342969331084153,0.006196106261756539,0.004835421682973472,0.007301779576319828,7.669728783333139e-05,0.00022036395869450307,0.01028514141162712,0.007333035199077749,0.012565471251806137,0.00021166447301087976,0.0001342969331084153,0.011957106665586284,0.00947926550045575,0.014000076693206345,0.00028585862184379016,0.0003283659456526755,0.007491314405077289,0.004085405284721335,0.009767466686776995,0.00011209394181772739,0.00019121132329755065,0.00511111677410521,0.0031214736625493423,0.006514288840025377,5.217955691726838e-05,0.00032836594565267753,0.007178224640363588,0.004094069302840196,0.00928235551283302,0.00010292352732308,0.0001912113232975507,0.007334446955309478,0.004386026095652406,0.00939593140295001,0.00010752075184068604,0.0003823963493687014,0.007242344699602198,0.003344950966455998,0.009657247924011276,0.000104451134433815,0.0002603518753582306,0.00491795859196401,0.0023771758570394702,0.006528977366080809,4.827851050208684e-05,0.00038239634936869556,0.006786305325546495,0.003009234650955112,0.0090893201838261,9.167123458861746e-05,0.00026035187535823065,0.005526106263217802,0.0026139781818943,0.00735857975474019,6.098157794229163e-05
9,101016,1,train,0.00016005622493692748,0.005037465653831289,0.0038463116829965767,0.005998902209533492,5.078094128230177e-05,9.754344703772238e-05,0.006428270201058652,0.0044916833773029526,0.007901691636866574,8.261195028606681e-05,0.0001600562249369278,0.006998011778637792,0.005075892191555865,0.008499108048964667,9.799951916827382e-05,9.754344703772231e-05,0.005104077193272175,0.003805873436143783,0.006130674523104856,5.206984272019184e-05,0.00023850095074700038,0.0040105654651683646,0.002381840924297293,0.005143106204525123,3.21247076196822e-05,0.00013888188773477435,0.004652723645366609,0.0025583181073402968,0.006060275279476406,4.327192800137808e-05,0.00023850095074700182,0.005329986661878984,0.0030643420032334507,0.006883684285241198,5.677530125165742e-05,0.00013888188773477435,0.003954340068576285,0.0022812491325475974,0.00510350531617413,3.124986411696677e-05,0.0002777446750921148,0.0039604061136029566,0.0019348321123967283,0.005244566711411436,3.124905529360655e-05,0.00018910051612776497,0.003724592982044011,0.0017098253592727028,0.004979038680013262,2.7714328936280228e-05,0.00027774467509211065,0.005072583559095504,0.0024694853572520105,0.006723927898689291,5.1309564316454276e-05,0.00018910051612776495,0.00330337941758653,0.001604696221056204,0.004383916555284078,2.179377432556588e-05
10,101016,1,train,0.0003359479405350205,0.009174718037293363,0.00667012379266117,0.01114057840415055,0.00016860303858845028,0.00020473755493060643,0.007090815324109922,0.005051499890269847,0.008659920562005912,0.00010051187528164907,0.00033594794053502135,0.006982038968548884,0.005546839468848562,0.008183372691505396,9.773501670125244e-05,0.0002047375549306064,0.007842647828814135,0.0058176562128845226,0.009440427823074393,0.000122966801293991,0.0005005984818814334,0.006350315511532308,0.0035945278678123404,0.008224985715212497,8.057102060792917e-05,0.0002915043396812544,0.005376557002485459,0.003352537588317571,0.006821255829106945,5.7769039367207657e-05,0.0005005984818814365,0.005205300220171733,0.0035238485482738937,0.0064572879470391415,5.4114076222149e-05,0.00029150433968125436,0.005427872922566762,0.003274248302234841,0.006939540038621865,5.88779178923237e-05,0.0005829685888726519,0.006241013831632173,0.0031431959686285304,0.00822837018258672,7.758575675888488e-05,0.0003969100793940765,0.004519046337035604,0.0023180492669964336,0.005950659086937078,4.078369597316952e-05,0.0005829685888726434,0.0051806695130278205,0.0027833773811244142,0.006760087461513022,5.3445972133060575e-05,0.0003969100793940766,0.004695724369082616,0.0023671058515506516,0.0061997258785342286,4.403979108141235e-05
