feature,importance,rank
dwt_l2_ll_std,0.15055974820233053,1
dwt_l2_ll_energy,0.1200290665257325,2
dwt_l2_ll_mean,0.11426701402511986,3
dwt_l2_hh_entropy,0.05347385164030112,4
dwt_l1_lh_entropy,0.04004767918534009,5
dwt_l1_hh_entropy,0.03980456326089863,6
dwt_l1_hl_entropy,0.034839268340310266,7
dwt_l2_hl_entropy,0.03228564286820671,8
dwt_l1_hh_std,0.030968289771039267,9
dwt_l2_lh_entropy,0.030812659217794653,10
dwt_l1_hh_energy,0.02990392522291971,11
dwt_l2_ll_entropy,0.02626457343942476,12
dwt_l1_hl_std,0.025980096683643285,13
dwt_l1_hl_energy,0.025403381420268992,14
dwt_l2_lh_energy,0.022775766566642788,15
dwt_l2_lh_std,0.02234059435988581,16
dwt_l1_lh_energy,0.021392289120624762,17
dwt_l1_lh_std,0.02117870426882887,18
dwt_l2_hl_std,0.01976504813371433,19
dwt_l2_hl_energy,0.018771452567360056,20
dwt_l2_hl_mean,0.017051453356960025,21
dwt_l2_hh_std,0.01624766960396353,22
dwt_l1_lh_mean,0.015576652568784965,23
dwt_l2_hh_energy,0.014579167301414127,24
dwt_l1_hh_mean,0.01441034586818514,25
dwt_l2_hh_mean,0.014269402022110318,26
dwt_l1_hl_mean,0.013522752245315366,27
dwt_l2_lh_mean,0.01347894221287944,28
