group_type,group,total_importance,mean_importance
subband,L1-LH,0.0981953251435784,0.0245488312858946
subband,L1-HL,0.0997454986895376,0.0249363746723844
subband,L1-HH,0.11508712412304262,0.028771781030760654
subband,L2-LL,0.4111204021926075,0.10278010054815187
subband,L2-LH,0.0894079623572025,0.022351990589300624
subband,L2-HL,0.087873596926241,0.02196839923156025
subband,L2-HH,0.09857009056778901,0.024642522641947252
statistic,mean,0.2025765622993548,0.028939508899907828
statistic,std,0.28704015102340535,0.04100573586048648
statistic,energy,0.25285504872496267,0.03612214981785181
statistic,entropy,0.2575282379522759,0.03678974827889656
